0.000000	0.000000
0.020000	-0.039997
0.039997	-0.079979
0.059991	-0.119928
0.079979	-0.159829
0.099958	-0.199667
0.119928	-0.239424
0.139886	-0.279086
0.159829	-0.318636
0.179757	-0.358059
0.199667	-0.397339
0.219557	-0.436459
0.239424	-0.475405
0.259268	-0.514161
0.279086	-0.552711
0.298876	-0.591040
0.318636	-0.629133
0.338365	-0.666974
0.358059	-0.704548
0.377718	-0.741841
0.397339	-0.778837
0.416920	-0.815521
0.436459	-0.851879
0.455955	-0.887896
0.475405	-0.923558
0.494808	-0.958851
0.514161	-0.993760
0.533463	-1.028272
0.552711	-1.062372
0.571904	-1.096048
0.591040	-1.129285
0.610117	-1.162070
0.629133	-1.194391
0.648086	-1.226234
0.666974	-1.257586
0.685796	-1.288435
0.704548	-1.318769
0.723231	-1.348576
0.741841	-1.377843
0.760377	-1.406559
0.778837	-1.434712
0.797219	-1.462292
0.815521	-1.489286
0.833742	-1.515685
0.851879	-1.541478
0.869931	-1.566654
0.887896	-1.591203
0.905773	-1.615116
0.923558	-1.638383
0.941252	-1.660995
0.958851	-1.682942
0.976354	-1.704216
0.993760	-1.724808
1.011067	-1.744711
1.028272	-1.763916
1.045374	-1.782415
1.062372	-1.800201
1.079264	-1.817267
1.096048	-1.833606
1.112722	-1.849212
1.129285	-1.864078
1.145735	-1.878199
1.162070	-1.891568
1.178290	-1.904181
1.194391	-1.916032
1.210373	-1.927116
1.226234	-1.937430
1.241972	-1.946969
1.257586	-1.955729
1.273074	-1.963707
1.288435	-1.970899
1.303668	-1.977304
1.318769	-1.982917
1.333739	-1.987737
1.348576	-1.991762
1.363278	-1.994990
1.377843	-1.997420
1.392270	-1.999052
1.406559	-1.999883
1.420707	-1.999915
1.434712	-1.999147
1.448574	-1.997579
1.462292	-1.995213
1.475863	-1.992048
1.489286	-1.988086
1.502561	-1.983330
1.515685	-1.977780
1.528658	-1.971438
1.541478	-1.964309
1.554143	-1.956393
1.566654	-1.947695
1.579007	-1.938218
1.591203	-1.927966
1.603240	-1.916943
1.615116	-1.905152
1.626831	-1.892600
1.638383	-1.879291
1.649771	-1.865230
1.660995	-1.850423
1.672052	-1.834876
1.682942	-1.818595
1.693664	-1.801586
1.704216	-1.783857
1.714598	-1.765415
1.724808	-1.746266
1.734846	-1.726419
1.744711	-1.705881
1.754401	-1.684661
1.763916	-1.662767
1.773254	-1.640208
1.782415	-1.616993
1.791397	-1.593131
1.800201	-1.568632
1.808824	-1.543505
1.817267	-1.517761
1.825528	-1.491410
1.833606	-1.464463
1.841501	-1.436930
1.849212	-1.408822
1.856738	-1.380150
1.864078	-1.350926
1.871232	-1.321162
1.878199	-1.290870
1.884978	-1.260061
1.891568	-1.228749
1.897969	-1.196944
